ID,DOB,SSN,Zip,Age,Workclass,fnlwgt,Education,Education-Num,Marital Status,Occupation,Relationship,Race
a940e736,9/7/1967,732-14-6110,64152,39,State-gov,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White
d05be277,6/7/1988,150-19-2766,61523,50,Self-emp-not-inc,83311,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White
75c642cd,8/6/1991,725-59-9860,95668,38,Private,215646,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,White
87f8be02,4/6/2009,659-57-4974,25503,53,Private,234721,11th,7,Married-civ-spouse,Handlers-cleaners,Husband,Black
ac7a40b0,9/16/1951,220-93-3811,75387,28,Private,338409,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black
a03811b0,8/2/2001,535-53-2336,9820,37,Private,284582,Masters,14,Married-civ-spouse,Exec-managerial,Wife,White
94c20222,10/17/1989,787-78-1258,87125,49,Private,160187,9th,5,Married-spouse-absent,Other-service,Not-in-family,Black
dfdfb008,7/25/1971,208-67-0874,60887,52,Self-emp-not-inc,209642,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White
d93428b7,8/10/2001,691-69-7317,81548,31,Private,45781,Masters,14,Never-married,Prof-specialty,Not-in-family,White
b574028a,7/31/1998,632-53-4141,51592,42,Private,159449,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White
aca7dcc4,6/23/2009,119-26-4980,90245,37,Private,280464,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black
36a3a041,6/14/1995,232-09-2296,89259,30,State-gov,141297,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander
1fd10d45,3/11/1957,870-03-4270,79482,23,Private,122272,Bachelors,13,Never-married,Adm-clerical,Own-child,White
ef4d1f82,3/11/1987,531-39-1676,29389,32,Private,205019,Assoc-acdm,12,Never-married,Sales,Not-in-family,Black
90efed08,5/19/1985,121-55-7484,42065,40,Private,121772,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander
fadf769b,9/27/1968,383-99-3693,76988,34,Private,245487,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo
5bdf49a6,1/16/2010,703-66-0223,32345,25,Self-emp-not-inc,176756,HS-grad,9,Never-married,Farming-fishing,Own-child,White
5a6bfc98,1/25/1979,138-57-2883,71929,32,Private,186824,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White
51ae4f3f,11/24/1958,884-59-8967,3098,38,Private,28887,11th,7,Married-civ-spouse,Sales,Husband,White
93dd11d2,9/25/1979,875-07-4084,72862,43,Self-emp-not-inc,292175,Masters,14,Divorced,Exec-managerial,Unmarried,White
