ID,DOB,SSN,Zip,Age,Workclass,fnlwgt
d5d6f35f,9/7/1967,732-14-6110,64152,39,State-gov,77516
b1dbf1d4,6/7/1988,150-19-2766,61523,50,Self-emp-not-inc,83311
c5481360,8/6/1991,725-59-9860,95668,38,Private,215646
c2c950d1,4/6/2009,659-57-4974,25503,53,Private,234721
725a86d3,9/16/1951,220-93-3811,75387,28,Private,338409
bb3b124c,8/2/2001,535-53-2336,9820,37,Private,284582
ffba2d82,10/17/1989,787-78-1258,87125,49,Private,160187
42538b67,7/25/1971,208-67-0874,60887,52,Self-emp-not-inc,209642
d7ac10ce,8/10/2001,691-69-7317,81548,31,Private,45781
4a74b5bf,7/31/1998,632-53-4141,51592,42,Private,159449
9a278b5d,6/23/2009,119-26-4980,90245,37,Private,280464
e08fed7c,6/14/1995,232-09-2296,89259,30,State-gov,141297
017338dd,3/11/1957,870-03-4270,79482,23,Private,122272
899e2d82,3/11/1987,531-39-1676,29389,32,Private,205019
87e350cd,5/19/1985,121-55-7484,42065,40,Private,121772
1ee419a0,9/27/1968,383-99-3693,76988,34,Private,245487
b71b8165,1/16/2010,703-66-0223,32345,25,Self-emp-not-inc,176756
7dd7ebae,1/25/1979,138-57-2883,71929,32,Private,186824
e494851c,11/24/1958,884-59-8967,3098,38,Private,28887
0ef9e97f,9/25/1979,875-07-4084,72862,43,Self-emp-not-inc,292175
4a4e82eb,8/2/1970,570-73-0139,53155,40,Private,193524
a08a2bf4,9/28/1964,189-87-7998,3691,54,Private,302146
769aa8d0,8/10/2012,668-43-2767,92617,35,Federal-gov,76845
36964b4f,7/18/1960,557-99-3930,55466,43,Private,117037
e3d84282,11/3/1960,216-09-1548,32737,59,Private,109015
2b93fa62,2/22/1960,242-47-2508,58986,56,Local-gov,216851
4d3f5d9d,1/24/1989,868-85-7038,91102,19,Private,168294
c4e0dfdb,6/18/1952,338-12-9081,8598,54,,180211
d360cd4d,6/23/1987,288-49-7728,91341,39,Private,367260
1068b7ca,6/15/1951,297-29-2796,54807,49,Private,193366
d873eba0,7/15/1964,813-56-5466,93239,23,Local-gov,190709
3e3b42f2,2/17/1953,288-31-8670,65932,20,Private,266015
2ee21524,1/9/2009,890-14-4832,9717,45,Private,386940
